geneName,fullGeneName,Genename,Defline,Description,piDeprived,piReplete,log2FC,pvalue
Cre01.g005850,Cre01.g005850.t1.1,FAP23,"Flagellar Associated Protein, cobalamin adenosyltransferase-like","Highly conserved uncharacterized protein; found in the flagellar proteome [PMID: 15998802]",234,221,0.082462160191973,0.255828002672961
Cre01.g005900,Cre01.g005900.t1.2,,"","",42,29,0.534336427651188,0.0479618157054119
Cre01.g005950,Cre01.g005950.t1.1,,"","",312,303,0.0422282353892975,0.343403111467935
Cre01.g006000,Cre01.g006000.t1.2,,"","",27,7,1.94753258010586,9.75627917796373e-05
Cre01.g006050,Cre01.g006050.t1.2,LF3,"long flagella 3 protein","LF3 is involved in controlling flagellar length. Null mutants (ulf1 and ulf3) have unequal length flagella; hypomorphic alleles have long flagella. gi:37778331",102,81,0.332575339086871,0.0518147584212252
Cre01.g006092,Cre01.g006092.t1.1,,"","",51,55,-0.108934371553164,0.385459495468557
Cre01.g006100,Cre01.g006100.t1.1,_,"ferredoxin","putative ferredoxin; cd00207, fer2, 2Fe-2S iron-sulfur cluster binding domain; pfam00111",45,42,0.0995356735509144,0.334142498359404
Cre01.g006150,Cre01.g006150.t1.2,PRFC1,"peptide-chain release factor","peptide-chain release factor RF3, prokaryotic type; probably organelle-targeted; binds GTP; similarity to EfTu elongation factor",108,107,0.0134205157623214,0.445773630123124
Cre01.g006200,Cre01.g006200.t1.1,,"","",27,29,-0.103093492964104,0.446926547417511
Cre01.g006300,Cre01.g006300.t1.2,,"","",514,395,0.379915706129413,3.36551156160381e-05
Cre01.g006350,Cre01.g006350.t1.1,,"","",23,17,0.436099114806674,0.134093625527384
Cre01.g006394,Cre01.g006394.t1.1,,"","",114,41,1.47533800954666,6.64811095063556e-10
Cre01.g006400,Cre01.g006400.t1.1,,"","",64,70,-0.129283016944966,0.332975081950616
Cre01.g006600,Cre01.g006600.t1.1,,"","",28,30,-0.0995356735509144,0.447841606944795
Cre01.g006700,Cre01.g006700.t1.1,,"","",22,24,-0.125530882083859,0.441497956061198
Cre01.g006800,Cre01.g006800.t1.2,GTR18,"glycosyl transferase","glycosyl transferase, possibly a N-acetylglucosaminyltransferase",81,71,0.190102883379943,0.186166025772647
Cre01.g006850,Cre01.g006850.t1.1,,"","",72,70,0.0406419844973458,0.400669510905201
Cre01.g006950,Cre01.g006950.t1.2,FBA1,"fructose-1,6-bisphosphate aldolase","Fructose-1,6-bisphosphate Aldolase; Aldehyde-lyase (EC 4.1.2.13); may be plastidic based on N-terminal extension, but greater sequence similarity to cytosolic forms; glycolytic enzyme that catalyses the reversible aldol cleavage or condensation of fructose-1,6-bisphosphate into dihydroxyacetone-phosphate and glyceraldehyde 3-phosphate; found in the flagellar proteome [PMID: 15998802]",1050,771,0.445586562638451,2.44519959835543e-11
Cre01.g007000,Cre01.g007000.t1.1,,"","",45,39,0.206450877467426,0.222602334523288
Cre01.g007050,Cre01.g007050.t1.1,CPLD11,"predicted protein","Conserved expressed protein similar to hypothetical protein from cyanobacteria and plants",55,43,0.355094958822562,0.0944233599044511
Cre01.g007051,Cre01.g007051.t1.1,RPL40,"Ribosomal protein L40, component of cytosolic 80S ribosome and 60S large subunit","Cytosolic 80S ribosomal protein L40; cytosolic 60S large ribosomal subunit protein L40; a ubiquitin-fusion protein: contains an N-terminal ubiquitin domain",37121,37054,0.00260628497547357,0.40141831965635
Cre01.g007150,Cre01.g007150.t1.2,,"","",39,38,0.037474705418663,0.409946451874524
Cre01.g007200,Cre01.g007200.t1.1,,"","",98,68,0.527247002864869,0.00793439202959434
Cre01.g007250,Cre01.g007250.t1.2,,"","",48,15,1.67807190511264,5.56151150021833e-06
Cre01.g007300,Cre01.g007300.t1.1,,"","",52,31,0.746243407754217,0.0076161009309974
Cre01.g007350,Cre01.g007350.t1.1,MOT42,"predicted protein","identified by comparative genomics as being present only in organisms having motile (MOT) cilia",140,67,1.06319382648719,1.00361972399376e-07
Cre01.g007400,Cre01.g007400.t1.2,,"","",20,11,0.862496476250065,0.0353777729906142
Cre01.g007500,Cre01.g007500.t1.2,,"","",25,22,0.184424571137428,0.280032314790105
Cre01.g007550,Cre01.g007550.t1.2,,"","",60,30,1,0.000486380353975635
Cre01.g007600,Cre01.g007600.t1.2,,"","",589,564,0.0625724714316672,0.221934222307802
Cre01.g007650,Cre01.g007650.t1.1,,"","",49,78,-0.67069237474704,0.00633034226023859
Cre01.g007700,Cre01.g007700.t1.2,,"","",127,282,-1.15086666562663,6.38535083185071e-15
Cre01.g007850,Cre01.g007850.t1.1,TEF29,"predicted protein","Protein with unknown function, mitochondrial localization assumed; present in thylakoid-enriched fraction based on mass spectrometric peptide identification [PMID: 17078018]",2030,1536,0.402301511351382,0
Cre01.g007901,Cre01.g007901.t1.2,,"","",71,37,0.940293753875732,0.00034211511096649
Cre01.g007902,Cre01.g007902.t1.1,,"","",316,365,-0.207971905590277,0.0328913830712571
Cre01.g007950,Cre01.g007950.t1.2,CYP55B1,"cytochrome P450, nitric oxide reductase","Cytochrome P450, similar to fungal protein, shares one intron boundary with CYP55A6. CYP55A1 (P450nor) in Fusarium oxysporum is inducible by nitrate or nitrite and acts as a nitric oxide reductase. The CYP55 family members in fungi are soluble, while all other eukaryotic P450s are membrane bound. These genes are related to bacterial soluble P450s in the CYP105 family. 51% to CYP55A5v1 Aspergillus oryzae, 48% to CYP55A3 Cylindrocarpon tonkinense, 42% to 105T1 Burkholderia fungorum (bacteria)",242,24,3.33390073655344,0
Cre01.g008000,Cre01.g008000.t1.1,,"","",44,29,0.601450623509725,0.0301850186699643
Cre01.g008050,Cre01.g008050.t1.2,,"","",104,38,1.45251220469751,4.94173635345874e-09
Cre01.g008081,Cre01.g008081.t1.1,,"","",126,122,0.0465425859370302,0.375468625507019
Cre01.g008100,Cre01.g008100.t1.1,,"","",14,18,-0.362570079384708,0.298307447927073
Cre01.g008150,Cre01.g008150.t1.2,,"","",22,12,0.874469117916141,0.0288063364569098
Cre01.g008200,Cre01.g008200.t1.2,,"","",28,17,0.719892080807265,0.0362271300812722
Cre01.g008450,Cre01.g008450.t1.1,,"","",42,21,1,0.00257619852104607
Cre01.g008500,Cre01.g008500.t1.1,,"","",36,41,-0.187627003175771,0.324395581155322
Cre01.g008550,Cre01.g008550.t1.2,,"","",70,57,0.296393002780225,0.10698257701771
Cre01.g008650,Cre01.g008650.t1.2,,"","",133,59,1.17263938613935,2.08952440905463e-08
Cre01.g008700,Cre01.g008700.t1.1,,"","",142,107,0.408280133103535,0.0111669832237462
Cre01.g008800,Cre01.g008800.t1.2,,"","",98,193,-0.977747193152872,1.36005015537025e-08
Cre01.g008850,Cre01.g008850.t1.2,,"","",64,84,-0.39231742277876,0.0590196233908632
Cre01.g008891,Cre01.g008891.t1.1,,"","",32,13,1.29956028185891,0.00122945016104836
Cre01.g008950,Cre01.g008950.t1.1,,"","",180,99,0.862496476250065,3.82305443302755e-07
Cre01.g009000,Cre01.g009000.t1.2,,"","",134,73,0.876264631577755,7.09779693330859e-06
Cre01.g009150,Cre01.g009150.t1.2,,"","",49,23,1.0911478880582,0.000646792481338143
Cre01.g009200,Cre01.g009200.t1.1,,"","",32,21,0.60768257722124,0.049185324220246
Cre01.g009250,Cre01.g009250.t1.2,TOP2,"DNA topoisomerase II","DNA topoisomerase II. Similar to DNA topoisomerase II in Arabidopsis, TOP2 or AT3G23890.",42,26,0.691877704637668,0.0192300266744637
Cre01.g009300,Cre01.g009300.t1.2,,"","",114,92,0.309328058107729,0.054411777209326
Cre01.g009350,Cre01.g009350.t1.1,AIH2,"agmatine iminohydrolase","converts agmatin to N-carbamoyl-putrescine; involved in agmatine pathway of polyamine (putrescine) biosynthesis; found in soluble mitochondrial proteome",87,52,0.742503777707636,0.00107354869316256
Cre01.g009500,Cre01.g009500.t1.1,,"","",141,129,0.128324096975539,0.21445385735308
Cre01.g009550,Cre01.g009550.t1.2,,"","",68,60,0.180572245641821,0.213219748222012
Cre01.g009700,Cre01.g009700.t1.2,,"","",18,28,-0.637429920615292,0.0919624106884954
Cre01.g009800,Cre01.g009800.t1.1,FAP289,"Flagellar Associated Coiled-Coil Protein","Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]; transcript upregulated during flagellar regeneration [PMID: 15738400]",996,522,0.932095935498196,0
Cre01.g009850,Cre01.g009850.t1.1,,"","",296,182,0.701658725430254,6.28665695057151e-08
Cre01.g009900,Cre01.g009900.t1.2,,"","",187,168,0.154577037108876,0.14422671007919
Cre01.g009950,Cre01.g009950.t1.1,NEP1,"pre-rRNA processing protein","Involved in 40S ribosomal subunit biogenesis; seems to play a role in a methylation reaction in pre-rRNA processing (By similarity) [PMID: 11935223]",145,186,-0.359249721093097,0.0138775452391531
Cre01.g010000,Cre01.g010000.t1.1,MAPK8,"Mitogen-Activated Protein Kinase 8","Mitogen-Activated Protein Kinase Homolog 8 (gI 11275338); Downstream kinase in the canonical MAP kinase pathway",213,121,0.815846382951244,1.51747550303227e-07
Cre01.g010050,Cre01.g010050.t1.2,,"","",30,32,-0.0931094043914815,0.44953815682643
Cre01.g010100,Cre01.g010100.t1.1,,"","",97,102,-0.072512499784368,0.388418853447017
Cre01.g010200,Cre01.g010200.t1.2,,"","",37,36,0.0395283641866373,0.407560617612499
Cre01.g010250,Cre01.g010250.t1.2,,"","",62,26,1.25375659224578,3.13519138561702e-05
Cre01.g010296,Cre01.g010296.t1.1,,"","",25,14,0.836501267717121,0.0266259570489638
Cre01.g010300,Cre01.g010300.t1.1,,"","",30,9,1.73696559416621,0.000147038437717129
Cre01.g010350,Cre01.g010350.t1.1,LIPB,"lipoate protein ligase","lipoate protein ligase, lipoate biosynthesis protein",77,68,0.179323699444562,0.203184025679683
Cre01.g010400,Cre01.g010400.t1.1,_,"Chlamydomonas specific family protein","_",923,1766,-0.936082790002692,1.45503379535954e-60
Cre01.g010450,Cre01.g010450.t1.1,,"","",267,273,-0.0320612092322986,0.414831428630464
Cre01.g010500,Cre01.g010500.t1.1,,"","",130,185,-0.509013647487857,0.00114698387073576
Cre01.g010700,Cre01.g010700.t1.1,,"","",233,146,0.674361585774263,2.81328068907349e-06
Cre01.g010750,Cre01.g010750.t1.1,,"","",74,74,0,0.467262492708551
Cre01.g010800,Cre01.g010800.t1.2,,"","",27,19,0.506959988719883,0.0919624106884954
Cre01.g010900,Cre01.g010900.t1.1,GAP3,"Glyceraldehyde-3-Phosphate Dehydrogenase","Glyceraldehyde 3-phosphate dehydrogenase A, chloroplast precursor (NADP-dependent glyceraldehyde phosphate dehydrogenase subunit A); corresponds to G3PA_CHLRE; found in the flagellar proteome [PMID: 15998802]",12975,18633,-0.522125435035257,1.14073415216348e-223
Cre01.g010950,Cre01.g010950.t1.2,,"","",63,66,-0.0671141958585369,0.430155339308216
Cre01.g011000,Cre01.g011000.t1.1,RPL6,"Ribosomal protein L6, component of cytosolic 80S ribosome and 60S large subunit","Cytosolic 80S ribosomal protein L6; Cytosolic 60S large ribosomal subunit protein L6",24690,26493,-0.101684383597649,8.19977115085305e-16
Cre01.g011050,Cre01.g011050.t1.1,,"","",511,246,1.05466497559838,0
Cre01.g011100,Cre01.g011100.t1.1,CAS1,"cycloartenol synthase","similar to cycloartenol synthase; (S)-2,3-epoxysqualene mutase from Arabidopsis thaliana - possibly involved in sterol/ergosterol biosynthesis",90,69,0.383328639551506,0.0403542936243205
Cre01.g011200,Cre01.g011200.t1.1,,"","",98,94,0.0601209924375709,0.359159427108847
Cre01.g011300,Cre01.g011300.t1.1,,"","",357,193,0.887323226761019,6.75015598972095e-13
Cre01.g011350,Cre01.g011350.t1.1,,"","",81,61,0.409112665321738,0.038826607008811
Cre01.g011400,Cre01.g011400.t1.2,,"","",47,64,-0.445411148322363,0.0642377160428799
Cre01.g011450,Cre01.g011450.t1.2,,"","",52,50,0.0565835283663675,0.383302130625926
Cre01.g011500,Cre01.g011500.t1.1,RPN11,"26S proteasome regulatory subunit","26S proteasome regulatory complex, lid subcomplex, non-ATPase subunit RPN11 (26S PROTEASOME-ASSOCIATED PAD1 HOMOLOG)",307,331,-0.108592561437038,0.181264116378252
Cre01.g011600,Cre01.g011600.t1.1,,"","",35,26,0.428843298803874,0.100015684256551
Cre01.g011650,Cre01.g011650.t1.2,,"","",30,89,-1.56884283535788,2.84414342539195e-08
Cre01.g011750,Cre01.g011750.t1.2,,"","",30,40,-0.415037499278844,0.140989460896828
Cre01.g011850,Cre01.g011850.t1.2,,"","",30,33,-0.137503523749935,0.400653246252033
Cre01.g011900,Cre01.g011900.t1.2,,"","",21,34,-0.695145418471579,0.0523947412133017
Cre01.g012000,Cre01.g012000.t1.2,,"","",17,16,0.0874628412503394,0.364166240440682
Cre01.g012126,Cre01.g012126.t1.1,,"","",62,51,0.28177096841538,0.129431000082658
Cre01.g012150,Cre01.g012150.t1.1,MSRA4,"peptide methionine sulfoxide reductase","Peptidylprolyl isomerase, FKBP-type domain",692,1025,-0.566779966756084,4.5982310886579e-16
Cre01.g012177,Cre01.g012177.t1.1,,"","",107,37,1.5320136207722,7.47879425055942e-10
Cre01.g012200,Cre01.g012200.t1.2,_,"squamosa promoter binding protein","Protein with squamosa binding protein domain (similar to Arabidopsis CAB56580.1 GI:5931653) - strong similarity to region of copper responsive regulator - putative transcription factor - predicted protein 78 aa",33,31,0.0901978089715781,0.353990377067382
Cre01.g012226,Cre01.g012226.t1.1,,"","",263,226,0.218740026877115,0.0428079213346875
Cre01.g012300,Cre01.g012300.t1.2,,"","",321,305,0.0737640546720545,0.248439770661001
Cre01.g012350,Cre01.g012350.t1.1,,"","",51,64,-0.327574658028504,0.131526978771468
Cre01.g012400,Cre01.g012400.t1.1,,"","",27,24,0.169925001442312,0.287924673865923
Cre01.g012450,Cre01.g012450.t1.2,,"","",32,28,0.192645077942396,0.259479001594826
Cre01.g012500,Cre01.g012500.t1.1,PRA1,"prenylated rab acceptor family protein","Expressed Protein. Similar to Prenylated Rab Acceptor Protein",432,327,0.401740676665386,5.82375640139077e-05
Cre01.g012600,Cre01.g012600.t1.2,GPM2,"phosphoglucomutase","_",18,23,-0.3536369546147,0.266354627618057
Cre01.g012800,Cre01.g012800.t1.2,FAP230,"Flagellar Associated Protein","Flagellar Associated Protein, basal body protein of unknown function; found in the flagellar proteome [PMID: 15998802]; found in basal body proteome as BUG19 [PMID: 15964273]",339,225,0.591360271919307,5.90850163795231e-07
Cre01.g012900,Cre01.g012900.t1.2,,"","",47,43,0.128324096975539,0.299205859116759
Cre01.g013000,Cre01.g013000.t1.2,,"","",25,46,-0.879705766282288,0.0084973262867182
Cre01.g013050,Cre01.g013050.t1.2,,"","",67,56,0.258734268400168,0.13959927748804
Cre01.g013100,Cre01.g013100.t1.2,PRL10,"predicted extracellular protein","similar to pathogenesis-related protein 1, extracellular",44,49,-0.155278225477911,0.339266006826662
Cre01.g013150,Cre01.g013150.t1.1,,"","",477,240,0.990954860396993,0
Cre01.g013200,Cre01.g013200.t1.1,,"","",277,171,0.695889651163291,1.89857410792804e-07
Cre01.g013250,Cre01.g013250.t1.2,,"","",79,85,-0.105610187960599,0.348170484644647
Cre01.g013300,Cre01.g013300.t1.1,DEG10,"DegP-type protease","serine protease, trypsin family, DegP type (HtrA) (protease Do) most similar to plant-type DegPs (2,3,4,9,10,11,12,13) [PMID: 11299370, PMID: 12185496]; one PDZ domain, probably involved in substrate recognition and protease activation [PMID: 15137941]; probably mitochondrial (by homology to AT5G36950, DegP10); 215 AA N-terminal extension not found in other DegPs is uncertain",113,100,0.176322772640463,0.168720971861489
Cre01.g013350,Cre01.g013350.t1.1,,"","",2393,2303,0.0553059857456534,0.0920965513497349
