Pathway-id	Pathway-name	Reaction-id	EC	Protein-id	Protein-name	Gene-id	Gene-name
PWY-6527	stachyose degradation	RXN-11501	EC-3.2.1.22	unknown	unknown	unknown	unknown
PWY-6527	stachyose degradation	UDPGLUCEPIM-RXN	EC-5.1.3.2	CRE09.G401022-MONOMER	UDP-glucose 4-epimerase	CRE09.G401022	Cre09.g401022
PWY-6527	stachyose degradation	UDPGLUCEPIM-RXN	EC-5.1.3.2	CRE17.G732300-MONOMER	UDP-glucose 4-epimerase	CRE17.G732300	Cre17.g732300
PWY-6527	stachyose degradation	UDPGLUCEPIM-RXN	EC-5.1.3.2	CRE04.G214502-MONOMER	UDP-glucose 4-epimerase	CRE04.G214502	Cre04.g214502
PWY-6527	stachyose degradation	UTPHEXPURIDYLYLTRANS-RXN	EC-2.7.7.64	CRE14.G621751-MONOMER	UDP-galactose pyrophosphorylase	CRE14.G621751	Cre14.g621751
GLUTAMATE-DEG1-PWY	L-glutamate degradation I	GLUTAMATE-DEHYDROGENASE-RXN	EC-1.4.1.2	CRE05.G232150-MONOMER		CRE05.G232150	Cre05.g232150
GLUTAMATE-DEG1-PWY	L-glutamate degradation I	GLUTAMATE-DEHYDROGENASE-RXN	EC-1.4.1.2	CRE09.G388800-MONOMER		CRE09.G388800	Cre09.g388800
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXN-12244	-	GIO2-2116-MONOMER	15-<em>cis</em>-phytoene desaturase	GIO2-2116	Cre12.g509650
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXN-12244	-	MONOMERIO2-5832	15-<em>cis</em>-phytoene desaturase	CRE13.G587500	Cre13.g587500
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXN-12244	-	CRE12.G560900-MONOMER	15-<em>cis</em>-phytoene desaturase	CRE12.G560900	Cre12.g560900
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXN-12243	-	GIO2-2116-MONOMER	15-<em>cis</em>-phytoene desaturase	GIO2-2116	Cre12.g509650
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXN-12243	-	MONOMERIO2-5832	15-<em>cis</em>-phytoene desaturase	CRE13.G587500	Cre13.g587500
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXN-12243	-	CRE12.G560900-MONOMER	15-<em>cis</em>-phytoene desaturase	CRE12.G560900	Cre12.g560900
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXN-11357	-	CRE07.G314150-MONOMER	9,9&prime;-<em>di</em><em>cis</em>-&zeta;-carotene desaturase	CRE07.G314150	Cre07.g314150
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXN-11357	-	GIO2-4471-MONOMER	9,9&prime;-<em>di</em><em>cis</em>-&zeta;-carotene desaturase	GIO2-4471	Cre07.g314150
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXN-8042	EC-5.2.1.13	CRE16.G651923-MONOMER	prolycopene isomerase	CRE16.G651923	Cre16.g651923
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXN-8042	EC-5.2.1.13	CRE16.G674950-MONOMER	prolycopene isomerase	CRE16.G674950	Cre16.g674950
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXN-8042	EC-5.2.1.13	CRE09.G407200-MONOMER	prolycopene isomerase	CRE09.G407200	Cre09.g407200
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXN-8042	EC-5.2.1.13	CHLREDRAFT_196597-MONOMER	prolycopene isomerase	CHLREDRAFT_196597	CRTISO
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXNARA-8002	-	CRE02.G095092-MONOMER	Cre02.g095092	CRE02.G095092	Cre02.g095092
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXNARA-8002	-	CRE03.G194300-MONOMER	Cre03.g194300	CRE03.G194300	Cre03.g194300
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXNARA-8002	-	GIO2-2628-MONOMER	phytoene synthase	GIO2-2628	g1866.t1
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	2.5.1.32-RXN	-	CRE02.G095092-MONOMER	Cre02.g095092	CRE02.G095092	Cre02.g095092
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	2.5.1.32-RXN	-	CRE03.G194300-MONOMER	Cre03.g194300	CRE03.G194300	Cre03.g194300
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	2.5.1.32-RXN	-	GIO2-2628-MONOMER	phytoene synthase	GIO2-2628	g1866.t1
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXN-11356	-	CRE07.G314150-MONOMER	9,9'-di-<i>cis</i>-&zeta;-carotene desaturase	CRE07.G314150	Cre07.g314150
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXN-11356	-	GIO2-4471-MONOMER	9,9'-di-<i>cis</i>-&zeta;-carotene desaturase	GIO2-4471	Cre07.g314150
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	RXN-11354	EC-5.2.1.12	CRE19.G750247-MONOMER	&zeta;-carotene isomerase	CRE19.G750247	Cre19.g750247
PWY-8001	felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis	RXN-19732	EC-3.4.19.13	CRE17.G698650-MONOMER		CRE17.G698650	Cre17.g698650
PWY-8001	felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis	RXN-19731	EC-3.4.13	unknown	unknown	unknown	unknown
PWY-8001	felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis	RXN-15127	EC-3.5.99.10	CRE16.G669650-MONOMER	2-iminopropanoate deaminase	CRE16.G669650	Cre16.g669650
PWY-8001	felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis	RXN-15127	EC-3.5.99.10	CRE06.G278086-MONOMER	2-iminopropanoate deaminase	CRE06.G278086	Cre06.g278086
PWY-8001	felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis	RXN-15124	-	unknown	unknown	unknown	unknown
PWY-8001	felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis	RXN-19546	-	unknown	unknown	unknown	unknown
PWY66-399	gluconeogenesis III	PGLUCISOM-RXN	EC-5.3.1.9	MONOMERIO2-5771	glucose-6-phosphate isomerase	CRE03.G175400	Cre03.g175400
PWY66-399	gluconeogenesis III	MALATE-DEH-RXN	EC-1.1.1.37	CRE17.G744597-MONOMER	malate dehydrogenase	CRE17.G744597	Cre17.g744597
PWY66-399	gluconeogenesis III	MALATE-DEH-RXN	EC-1.1.1.37	CRE02.G145800-MONOMER	malate dehydrogenase	CRE02.G145800	Cre02.g145800
PWY66-399	gluconeogenesis III	MALATE-DEH-RXN	EC-1.1.1.37	CRE03.G194850-MONOMER	malate dehydrogenase	CRE03.G194850	Cre03.g194850
PWY66-399	gluconeogenesis III	MALATE-DEH-RXN	EC-1.1.1.37	CRE10.G423250-MONOMER	malate dehydrogenase	CRE10.G423250	Cre10.g423250
PWY66-399	gluconeogenesis III	MALATE-DEH-RXN	EC-1.1.1.37	CRE12.G483950-MONOMER	malate dehydrogenase	CRE12.G483950	Cre12.g483950
PWY66-399	gluconeogenesis III	MALATE-DEH-RXN	EC-1.1.1.37	CRE06.G268750-MONOMER	malate dehydrogenase	CRE06.G268750	Cre06.g268750
PWY66-399	gluconeogenesis III	RXN66-526	EC-3.1.3.58	CRE08.G360801-MONOMER	glucose-6-phosphate phosphatase	CRE08.G360801	Cre08.g360801
PWY66-399	gluconeogenesis III	RXN66-526	EC-3.1.3.58	CRE14.G623000-MONOMER	glucose-6-phosphate phosphatase	CRE14.G623000	Cre14.g623000
PWY66-399	gluconeogenesis III	RXN66-526	EC-3.1.3.58	CRE16.G656650-MONOMER	glucose-6-phosphate phosphatase	CRE16.G656650	Cre16.g656650
PWY66-399	gluconeogenesis III	RXN66-526	EC-3.1.3.58	CRE17.G711200-MONOMER		CRE17.G711200	Cre17.g711200
PWY66-399	gluconeogenesis III	RXN66-526	EC-3.1.3.58	CRE09.G402960-MONOMER		CRE09.G402960	Cre09.g402960
PWY66-399	gluconeogenesis III	RXN66-526	EC-3.1.3.58	CRE06.G252150-MONOMER		CRE06.G252150	Cre06.g252150
PWY66-399	gluconeogenesis III	4.1.1.32-RXN	EC-4.1.1.32	CRE02.G141400-MONOMER	phosphoenolpyruvate carboxykinase (GTP)	CRE02.G141400	Cre02.g141400
PWY66-399	gluconeogenesis III	PYRUVATE-CARBOXYLASE-RXN	EC-6.4.1.1	CRE06.G258700-MONOMER	pyruvate carboxylase	CRE06.G258700	Cre06.g258700
PWY66-399	gluconeogenesis III	TRIOSEPISOMERIZATION-RXN	EC-5.3.1.1	CRE01.G029300-MONOMER	triose-phosphate isomerase	CRE01.G029300	Cre01.g029300
PWY66-399	gluconeogenesis III	2PGADEHYDRAT-RXN	EC-4.2.1.11	CRE12.G513200-MONOMER	enolase	CRE12.G513200	Cre12.g513200
PWY66-399	gluconeogenesis III	RXN-15513	EC-5.4.2.11	CRE03.G182300-MONOMER	phosphoglycerate mutase	CRE03.G182300	Cre03.g182300
PWY66-399	gluconeogenesis III	RXN-15513	EC-5.4.2.11	CRE03.G166950-MONOMER	phosphoglycerate mutase	CRE03.G166950	Cre03.g166950
PWY66-399	gluconeogenesis III	PHOSGLYPHOS-RXN	EC-2.7.2.3	CRE07.G354250-MONOMER	phosphoglycerate kinase	CRE07.G354250	Cre07.g354250
PWY66-399	gluconeogenesis III	PHOSGLYPHOS-RXN	EC-2.7.2.3	CRE11.G467770-MONOMER	phosphoglycerate kinase	CRE11.G467770	Cre11.g467770
PWY66-399	gluconeogenesis III	GAPOXNPHOSPHN-RXN	EC-1.2.1.12	CRE07.G354200-MONOMER	glyceraldehyde-3-phosphate dehydrogenase	CRE07.G354200	Cre07.g354200
PWY66-399	gluconeogenesis III	GAPOXNPHOSPHN-RXN	EC-1.2.1.12	CRE12.G485150-MONOMER	glyceraldehyde-3-phosphate dehydrogenase	CRE12.G485150	Cre12.g485150
PWY66-399	gluconeogenesis III	F16ALDOLASE-RXN	EC-4.1.2.13	MONOMERIO2-5860	fructose-bisphosphate aldolase	CRE05.G234550	Cre05.g234550
PWY66-399	gluconeogenesis III	F16ALDOLASE-RXN	EC-4.1.2.13	CRE02.G115650-MONOMER	fructose-bisphosphate aldolase	CRE02.G115650	Cre02.g115650
PWY66-399	gluconeogenesis III	F16ALDOLASE-RXN	EC-4.1.2.13	CRE02.G093450-MONOMER	fructose-bisphosphate aldolase	CRE02.G093450	Cre02.g093450
PWY66-399	gluconeogenesis III	F16ALDOLASE-RXN	EC-4.1.2.13	MONOMERIO2-5764	fructose-bisphosphate aldolase	CRE01.G006950	Cre01.g006950
PWY66-399	gluconeogenesis III	F16BDEPHOS-RXN	EC-3.1.3.11	CRE07.G338451-MONOMER	fructose-1,6-bisphosphatase	CRE07.G338451	Cre07.g338451
PWY66-399	gluconeogenesis III	F16BDEPHOS-RXN	EC-3.1.3.11	CRE09.G402997-MONOMER	fructose-1,6-bisphosphatase	CRE09.G402997	Cre09.g402997
PWY66-399	gluconeogenesis III	F16BDEPHOS-RXN	EC-3.1.3.11	CRE12.G510650-MONOMER	fructose-1,6-bisphosphatase	CRE12.G510650	Cre12.g510650
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE08.G382560-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE08.G382560	Cre08.g382560
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE07.G325050-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE07.G325050	Cre07.g325050
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE11.G483400-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE11.G483400	Cre11.g483400
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE14.G619854-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE14.G619854	Cre14.g619854
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE14.G622050-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE14.G622050	Cre14.g622050
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE06.G278220-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE06.G278220	Cre06.g278220
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE06.G278093-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE06.G278093	Cre06.g278093
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE06.G311950-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE06.G311950	Cre06.g311950
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE06.G278094-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE06.G278094	Cre06.g278094
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE09.G414750-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE09.G414750	Cre09.g414750
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE09.G417250-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE09.G417250	Cre09.g417250
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE09.G414900-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE09.G414900	Cre09.g414900
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE09.G390750-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE09.G390750	Cre09.g390750
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE17.G721750-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE17.G721750	Cre17.g721750
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE17.G724650-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE17.G724650	Cre17.g724650
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE05.G233450-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE05.G233450	Cre05.g233450
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE13.G577400-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE13.G577400	Cre13.g577400
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE13.G577050-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE13.G577050	Cre13.g577050
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE02.G099400-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE02.G099400	Cre02.g099400
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE02.G144100-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE02.G144100	Cre02.g144100
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	MONOMERIO2-5799	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE02.G144050	Cre02.g144050
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE03.G202550-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE03.G202550	Cre03.g202550
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE03.G205250-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE03.G205250	Cre03.g205250
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE03.G157000-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE03.G157000	Cre03.g157000
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE03.G204100-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE03.G204100	Cre03.g204100
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE03.G204050-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE03.G204050	Cre03.g204050
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	CRE10.G430250-MONOMER	xylogalacturonan &beta;-1,3-xylosyltransferase	CRE10.G430250	Cre10.g430250
