tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
Cre01.g002200	-	-	Cre01.g002200	RPB6	-	chromosome_1:347991-350436	-	-	78.4547	74.217	82.6924	OK
g51	-	-	g51	g51	-	chromosome_1:350580-355595	-	-	0.129818	0.0420819	0.217554	OK
g52	-	-	g52	g52	-	chromosome_1:355695-360627	-	-	0.0216749	0	0.0851441	OK
Cre01.g002201	-	-	Cre01.g002201	Cre01.g002201	-	chromosome_1:355695-360627	-	-	2.89436	2.43029	3.35842	OK
Cre01.g002227	-	-	Cre01.g002227	Cre01.g002227	-	chromosome_1:360915-364167	-	-	4.1542	3.36737	4.94103	OK
Cre01.g002236	-	-	Cre01.g002236	Cre01.g002236	-	chromosome_1:364215-367867	-	-	0.813464	0.487134	1.13979	OK
g54	-	-	g54	g54	-	chromosome_1:364215-367867	-	-	0.000303784	0	0.0634815	OK
Cre01.g002250	-	-	Cre01.g002250	Cre01.g002250	-	chromosome_1:367915-372098	-	-	4.45768	3.79317	5.12219	OK
Cre01.g002300	-	-	Cre01.g002300	Cre01.g002300	-	chromosome_1:372675-375035	-	-	454.209	443.503	464.915	OK
Cre01.g002350	-	-	Cre01.g002350	Cre01.g002350	-	chromosome_1:375365-383307	-	-	4.50767	3.86041	5.15494	OK
Cre01.g002400	-	-	Cre01.g002400	Cre01.g002400	-	chromosome_1:384275-388645	-	-	5.97414	4.93417	7.0141	OK
g59	-	-	g59	g59	-	chromosome_1:437789-440875	-	-	2.70948	1.98534	3.43362	OK
Cre01.g002500	-	-	Cre01.g002500	COP2	-	chromosome_1:441093-444942	-	-	312.704	306.043	319.364	OK
Cre01.g002550	-	-	Cre01.g002550	Cre01.g002550	-	chromosome_1:445085-451638	-	-	51.851	49.9998	53.7023	OK
Cre01.g002600	-	-	Cre01.g002600	Cre01.g002600	-	chromosome_1:452175-455677	-	-	2.87099	2.34899	3.39298	OK
Cre01.g002650	-	-	Cre01.g002650	Cre01.g002650	-	chromosome_1:456375-459334	-	-	0.0236671	0	0.0710012	OK
Cre01.g002700	-	-	Cre01.g002700	Cre01.g002700	-	chromosome_1:459395-468331	-	-	0.571569	0.395528	0.74761	OK
Cre01.g002750	-	-	Cre01.g002750	Cre01.g002750	-	chromosome_1:468385-472847	-	-	0.18293	0.0434447	0.322415	OK
g65	-	-	g65	g65	-	chromosome_1:468385-472847	-	-	0.000271083	0	0.0524761	OK
Cre01.g002800	-	-	Cre01.g002800	SRR24	-	chromosome_1:473705-504317	-	-	0.117577	0.0739099	0.161244	OK
g67	-	-	g67	g67	-	chromosome_1:504485-507767	-	-	0.122879	0	0.264768	OK
g68	-	-	g68	g68	-	chromosome_1:507815-527067	-	-	0.941969	0.792328	1.09161	OK
Cre01.g002900	-	-	Cre01.g002900	Cre01.g002900	-	chromosome_1:527089-528815	-	-	2.20193	1.51932	2.88455	OK
Cre01.g002950	-	-	Cre01.g002950	Cre01.g002950	-	chromosome_1:528879-533195	-	-	4.63643	3.95096	5.3219	OK
Cre01.g003000	-	-	Cre01.g003000	Cre01.g003000	-	chromosome_1:533295-537931	-	-	0.218839	0.0804331	0.357245	OK
Cre01.g003050	-	-	Cre01.g003050	SEC8	-	chromosome_1:538050-548685	-	-	0.966219	0.761381	1.17106	OK
Cre01.g003100	-	-	Cre01.g003100	Cre01.g003100	-	chromosome_1:548795-553667	-	-	0	0	0	OK
g73	-	-	g73	g73	-	chromosome_1:548795-553667	-	-	0	0	0	OK
Cre01.g003150	-	-	Cre01.g003150	Cre01.g003150	-	chromosome_1:553685-559455	-	-	1.4527	1.13682	1.76858	OK
Cre01.g003200	-	-	Cre01.g003200	Cre01.g003200	-	chromosome_1:559605-563426	-	-	1.55535	1.16029	1.95041	OK
Cre01.g003250	-	-	Cre01.g003250	Cre01.g003250	-	chromosome_1:563645-566147	-	-	1.7016	1.27202	2.13117	OK
Cre01.g003300	-	-	Cre01.g003300	Cre01.g003300	-	chromosome_1:566225-571627	-	-	0	0	0	OK
g78	-	-	g78	g78	-	chromosome_1:571709-577935	-	-	9.06609	8.24148	9.89071	OK
g79	-	-	g79	g79	-	chromosome_1:578085-583100	-	-	0.0533865	0	0.138276	OK
Cre01.g003450	-	-	Cre01.g003450	Cre01.g003450	-	chromosome_1:578085-583100	-	-	2.95027	2.51445	3.38608	OK
g80	-	-	g80	g80	-	chromosome_1:583695-595687	-	-	1.00145	0.742878	1.26003	OK
g81	-	-	g81	g81	-	chromosome_1:595704-601865	-	-	0.00305625	0	0.019796	OK
g82	-	-	g82	g82	-	chromosome_1:602370-606855	-	-	4.92084	4.22142	5.62025	OK
g83	-	-	g83	g83	-	chromosome_1:606955-626077	-	-	1.83643	1.63229	2.04056	OK
Cre01.g003519	-	-	Cre01.g003519	Cre01.g003519	-	chromosome_1:626435-628693	-	-	9.95301	8.56271	11.3433	OK
g85	-	-	g85	g85	-	chromosome_1:644745-653360	-	-	21.4095	20.2819	22.5371	OK
g86	-	-	g86	g86	-	chromosome_1:653606-662145	-	-	46.3145	44.7632	47.8658	OK
g87	-	-	g87	g87	-	chromosome_1:662245-677613	-	-	2.45475	2.15821	2.75129	OK
g88	-	-	g88	g88	-	chromosome_1:677835-680597	-	-	0.125071	0.0152096	0.234933	OK
Cre01.g003550	-	-	Cre01.g003550	Cre01.g003550	-	chromosome_1:680629-687445	-	-	3.33491	2.86213	3.80768	OK
Cre01.g003600	-	-	Cre01.g003600	Cre01.g003600	-	chromosome_1:688995-690516	-	-	2.45837	1.81181	3.10494	OK
Cre01.g003650	-	-	Cre01.g003650	Cre01.g003650	-	chromosome_1:694649-700899	-	-	5.98252	5.28707	6.67798	OK
Cre01.g003700	-	-	Cre01.g003700	Cre01.g003700	-	chromosome_1:701555-709087	-	-	0.0975898	0.0339292	0.16125	OK
Cre01.g003750	-	-	Cre01.g003750	Cre01.g003750	-	chromosome_1:709818-725710	-	-	0.974119	0.831572	1.11667	OK
Cre01.g003800	-	-	Cre01.g003800	Cre01.g003800	-	chromosome_1:726048-736490	-	-	1.12938	0.951089	1.30767	OK
g96	-	-	g96	g96	-	chromosome_1:736538-738965	-	-	2.31831	1.83491	2.80171	OK
Cre01.g003850	-	-	Cre01.g003850	Cre01.g003850	-	chromosome_1:739298-746905	-	-	0.527201	0.340807	0.713595	OK
g99	-	-	g99	g99	-	chromosome_1:750062-767768	-	-	14.3161	13.7224	14.9099	OK
Cre01.g004000	-	-	Cre01.g004000	Cre01.g004000	-	chromosome_1:767815-771798	-	-	11.2285	9.96914	12.4878	OK
Cre01.g004050	-	-	Cre01.g004050	Cre01.g004050	-	chromosome_1:779808-782390	-	-	0.0896316	0	0.222026	OK
g102	-	-	g102	g102	-	chromosome_1:782818-804650	-	-	12.636	11.8909	13.3811	OK
Cre01.g004124	-	-	Cre01.g004124	Cre01.g004124	-	chromosome_1:782818-804650	-	-	13.4679	12.8129	14.1229	OK
Cre01.g004157	-	-	Cre01.g004157	Cre01.g004157	-	chromosome_1:807728-826390	-	-	14.5059	13.9367	15.075	OK
Cre01.g004200	-	-	Cre01.g004200	Cre01.g004200	-	chromosome_1:826412-833028	-	-	20.7274	19.6323	21.8225	OK
Cre01.g004250	-	-	Cre01.g004250	TCTEX1	-	chromosome_1:833154-834660	-	-	122.613	117.154	128.072	OK
Cre01.g004300	-	-	Cre01.g004300	ASN1	-	chromosome_1:834662-841428	-	-	142.242	138.559	145.925	OK
Cre01.g004350	-	-	Cre01.g004350	Cre01.g004350	-	chromosome_1:841528-850578	-	-	21.2485	20.0966	22.4004	OK
Cre01.g004400	-	-	Cre01.g004400	Cre01.g004400	-	chromosome_1:852288-853940	-	-	4.2673	3.34159	5.193	OK
Cre01.g004450	-	-	Cre01.g004450	CPLD42	-	chromosome_1:853942-857330	-	-	45.4628	42.6032	48.3225	OK
Cre01.g004500	-	-	Cre01.g004500	LEU1L	-	chromosome_1:857468-864406	-	-	103.208	99.8453	106.571	OK
Cre01.g004550	-	-	Cre01.g004550	FAP190	-	chromosome_1:864598-870890	-	-	52.214	50.5987	53.8292	OK
Cre01.g004600	-	-	Cre01.g004600	RWP12	-	chromosome_1:871546-885124	-	-	2.62759	2.40505	2.85014	OK
Cre01.g004650	-	-	Cre01.g004650	Cre01.g004650	-	chromosome_1:885746-887416	-	-	0.808752	0.438464	1.17904	OK
Cre01.g004700	-	-	Cre01.g004700	Cre01.g004700	-	chromosome_1:887957-891436	-	-	0.327628	0.0601208	0.595135	OK
g115	-	-	g115	g115	-	chromosome_1:891736-897598	-	-	0.276521	0.0766223	0.47642	OK
Cre01.g004750	-	-	Cre01.g004750	Cre01.g004750	-	chromosome_1:891736-897598	-	-	0.179586	0.0250367	0.334135	OK
Cre01.g004800	-	-	Cre01.g004800	Cre01.g004800	-	chromosome_1:897756-902004	-	-	123.409	120.405	126.413	OK
Cre01.g004850	-	-	Cre01.g004850	Cre01.g004850	-	chromosome_1:902010-912496	-	-	0.569109	0.425707	0.71251	OK
Cre01.g004900	-	-	Cre01.g004900	Cre01.g004900	-	chromosome_1:912668-915952	-	-	9.71294	8.57893	10.8469	OK
g119	-	-	g119	g119	-	chromosome_1:916086-916739	-	-	10.9992	8.65972	13.3388	OK
Cre01.g004950	-	-	Cre01.g004950	Cre01.g004950	-	chromosome_1:921310-925536	-	-	17.8309	16.4639	19.1979	OK
Cre01.g005000	-	-	Cre01.g005000	CPLD9	-	chromosome_1:925646-928048	-	-	4.29075	3.44106	5.14045	OK
Cre01.g005050	-	-	Cre01.g005050	Cre01.g005050	-	chromosome_1:928429-933185	-	-	34.0167	32.3815	35.652	OK
Cre01.g005100	-	-	Cre01.g005100	Cre01.g005100	-	chromosome_1:933366-936277	-	-	3.47337	2.81696	4.12977	OK
g124	-	-	g124	g124	-	chromosome_1:936476-937038	-	-	4.57497	2.52712	6.62282	OK
Cre01.g005150	-	-	Cre01.g005150	SGA1	-	chromosome_1:937149-941885	-	-	50.3987	48.1037	52.6937	OK
Cre01.g005200	-	-	Cre01.g005200	Cre01.g005200	-	chromosome_1:943055-951176	-	-	1.25595	1.01561	1.49628	OK
Cre01.g005250	-	-	Cre01.g005250	Cre01.g005250	-	chromosome_1:958366-960388	-	-	0	0	0	OK
g128	-	-	g128	g128	-	chromosome_1:960636-965520	-	-	0.0304893	0	0.0914679	OK
g129	-	-	g129	g129	-	chromosome_1:968026-970638	-	-	0	0	0	OK
Cre01.g005400	-	-	Cre01.g005400	Cre01.g005400	-	chromosome_1:971011-975436	-	-	0.378574	0.110882	0.646266	OK
Cre01.g005450	-	-	Cre01.g005450	RSP10	-	chromosome_1:975626-977808	-	-	114.33	109.12	119.539	OK
Cre01.g005500	-	-	Cre01.g005500	Cre01.g005500	-	chromosome_1:978996-988186	-	-	1.59095	1.2662	1.91571	OK
Cre01.g005534	-	-	Cre01.g005534	Cre01.g005534	-	chromosome_1:988190-989356	-	-	1.29972	0.718468	1.88097	OK
g134	-	-	g134	g134	-	chromosome_1:991246-991928	-	-	0	0	0	OK
Cre01.g005550	-	-	Cre01.g005550	ARL2	-	chromosome_1:991940-996584	-	-	1.64055	1.06939	2.21172	OK
Cre01.g005650	-	-	Cre01.g005650	Cre01.g005650	-	chromosome_1:996676-999498	-	-	0.898682	0.556458	1.24091	OK
g137	-	-	g137	g137	-	chromosome_1:999816-1003518	-	-	0	0	0	OK
g138	-	-	g138	g138	-	chromosome_1:1003566-1007127	-	-	0.233221	0.0771116	0.389331	OK
Cre01.g005750	-	-	Cre01.g005750	Cre01.g005750	-	chromosome_1:1007609-1011925	-	-	0	0	0	OK
g140	-	-	g140	g140	-	chromosome_1:1012023-1021315	-	-	4.31105	3.67369	4.94841	OK
Cre01.g005850	-	-	Cre01.g005850	Cre01.g005850	-	chromosome_1:1021425-1024377	-	-	7.06457	5.94756	8.18158	OK
g142	-	-	g142	g142	-	chromosome_1:1024379-1029645	-	-	1.45635	1.04443	1.86826	OK
Cre01.g005950	-	-	Cre01.g005950	Cre01.g005950	-	chromosome_1:1029765-1035425	-	-	4.61223	3.94651	5.27795	OK
Cre01.g006000	-	-	Cre01.g006000	Cre01.g006000	-	chromosome_1:1035429-1040085	-	-	0.618932	0.43016	0.807705	OK
Cre01.g006050	-	-	Cre01.g006050	LF3	-	chromosome_1:1041785-1048797	-	-	2.8839	2.52988	3.23793	OK
Cre01.g006100	-	-	Cre01.g006100	Cre01.g006100	-	chromosome_1:1049716-1051485	-	-	5.01402	3.81544	6.2126	OK
g148	-	-	g148	g148	-	chromosome_1:1051595-1061757	-	-	9.30857	8.49086	10.1263	OK
g149	-	-	g149	g149	-	chromosome_1:1063475-1068097	-	-	1.68575	1.27565	2.09585	OK
g153	-	-	g153	g153	-	chromosome_1:1088529-1090755	-	-	0.132516	0	0.267881	OK
Cre01.g006300	-	-	Cre01.g006300	Cre01.g006300	-	chromosome_1:1091164-1094835	-	-	6.49633	5.7821	7.21055	OK
g155	-	-	g155	g155	-	chromosome_1:1094899-1099485	-	-	2.24582	1.84879	2.64286	OK
g156	-	-	g156	g156	-	chromosome_1:1098269-1101865	-	-	0.131013	0.0251041	0.236922	OK
Cre01.g006450	-	-	Cre01.g006450	Cre01.g006450	-	chromosome_1:1116175-1118197	-	-	8.35948e-09	0	0.0724913	OK
g158	-	-	g158	g158	-	chromosome_1:1116188-1119387	-	-	0.0517971	0	0.121509	OK
Cre01.g006500	-	-	Cre01.g006500	Cre01.g006500	-	chromosome_1:1119869-1123965	-	-	0.0714681	0.00213386	0.140802	OK
Cre01.g006550	-	-	Cre01.g006550	Cre01.g006550	-	chromosome_1:1124249-1125265	-	-	0.181577	0	0.434671	OK
g161	-	-	g161	g161	-	chromosome_1:1125425-1129607	-	-	0.0331734	0	0.0774719	OK
Cre01.g006600	-	-	Cre01.g006600	Cre01.g006600	-	chromosome_1:1134975-1139232	-	-	0.170071	0.0632424	0.276899	OK
g164	-	-	g164	g164	-	chromosome_1:1139569-1141435	-	-	0.0938964	0	0.208767	OK
g167	-	-	g167	g167	-	chromosome_1:1294329-1296655	-	-	0.0630863	0	0.185606	OK
g168	-	-	g168	g168	-	chromosome_1:1305749-1306835	-	-	0.0704906	0	0.204237	OK
g169	-	-	g169	g169	-	chromosome_1:1308029-1308705	-	-	0.0147175	0	0.0981916	OK
g170	-	-	g170	g170	-	chromosome_1:1314165-1319626	-	-	0.226474	0.0922233	0.360726	OK
Cre01.g006700	-	-	Cre01.g006700	Cre01.g006700	-	chromosome_1:1331475-1336502	-	-	0.149347	0.0387451	0.259948	OK
g174	-	-	g174	g174	-	chromosome_1:1337068-1340025	-	-	0.213752	0.00314696	0.424356	OK
Cre01.g006750	-	-	Cre01.g006750	Cre01.g006750	-	chromosome_1:1344579-1348695	-	-	0.0620923	0	0.132525	OK
Cre01.g006800	-	-	Cre01.g006800	Cre01.g006800	-	chromosome_1:1355518-1365287	-	-	2.58821	2.05228	3.12414	OK
Cre01.g006850	-	-	Cre01.g006850	Cre01.g006850	-	chromosome_1:1365380-1367300	-	-	8.88248	7.70338	10.0616	OK
g180	-	-	g180	g180	-	chromosome_1:1367551-1369417	-	-	2.75576	2.02293	3.48859	OK
g181	-	-	g181	g181	-	chromosome_1:1369581-1389407	-	-	0.851737	0.695993	1.00748	OK
Cre01.g006900	-	-	Cre01.g006900	Cre01.g006900	-	chromosome_1:1369581-1389407	-	-	0.000220537	0	0.0142991	OK
Cre01.g006950	-	-	Cre01.g006950	FBA1	-	chromosome_1:1390087-1395999	-	-	83.4149	0	105.198	LOWDATA
g182	-	-	g182	g182	-	chromosome_1:1390087-1396147	-	-	2.45805	1.67428	3.24181	OK
Cre01.g007000	-	-	Cre01.g007000	Cre01.g007000	-	chromosome_1:1396477-1405374	-	-	8.0601	7.28362	8.83658	OK
Cre01.g007050	-	-	Cre01.g007050	CPLD11	-	chromosome_1:1405737-1408463	-	-	5.86992	5.06362	6.67621	OK
g185	-	-	g185	g185	-	chromosome_1:1410567-1413489	-	-	1903.72	1881.67	1925.78	OK
Cre01.g007100	-	-	Cre01.g007100	Cre01.g007100	-	chromosome_1:1413507-1420007	-	-	0.673046	0.513294	0.832798	OK
Cre01.g007150	-	-	Cre01.g007150	Cre01.g007150	-	chromosome_1:1420136-1426409	-	-	0.904311	0.610914	1.19771	OK
Cre01.g007200	-	-	Cre01.g007200	Cre01.g007200	-	chromosome_1:1426467-1432253	-	-	28.3509	26.9896	29.7122	OK
g189	-	-	g189	g189	-	chromosome_1:1433281-1440877	-	-	0.0380215	0.00207928	0.0739637	OK
Cre01.g007300	-	-	Cre01.g007300	Cre01.g007300	-	chromosome_1:1441829-1446597	-	-	0.418967	0.215738	0.622196	OK
Cre01.g007350	-	-	Cre01.g007350	MOT42	-	chromosome_1:1446866-1449527	-	-	0.744915	0.452735	1.03709	OK
Cre01.g007400	-	-	Cre01.g007400	Cre01.g007400	-	chromosome_1:1450873-1454177	-	-	0.271659	0.12097	0.422348	OK
Cre01.g007450	-	-	Cre01.g007450	Cre01.g007450	-	chromosome_1:1454467-1458249	-	-	0	0	0	OK
Cre01.g007500	-	-	Cre01.g007500	Cre01.g007500	-	chromosome_1:1458381-1470637	-	-	0.551051	0.328679	0.773422	OK
g194	-	-	g194	g194	-	chromosome_1:1458850-1470637	-	-	11.2708	0	18.7785	LOWDATA
Cre01.g007550	-	-	Cre01.g007550	Cre01.g007550	-	chromosome_1:1471127-1477319	-	-	0.600358	0.349991	0.850724	OK
g196	-	-	g196	g196	-	chromosome_1:1477327-1482947	-	-	14.1277	12.3973	15.8582	OK
g197	-	-	g197	g197	-	chromosome_1:1483207-1491113	-	-	10.4124	9.62043	11.2043	OK
Cre01.g007700	-	-	Cre01.g007700	Cre01.g007700	-	chromosome_1:1491240-1499953	-	-	18.5042	17.1679	19.8405	OK
g199	-	-	g199	g199	-	chromosome_1:1500487-1508629	-	-	3.99729	3.5152	4.47938	OK
g200	-	-	g200	g200	-	chromosome_1:1508634-1513187	-	-	7.99131	7.16816	8.81445	OK
g201	-	-	g201	g201	-	chromosome_1:1513241-1520277	-	-	0.122565	0.0299147	0.215216	OK
Cre01.g007850	-	-	Cre01.g007850	TEF29	-	chromosome_1:1520327-1522685	-	-	81.0041	76.7199	85.2883	OK
Cre01.g007901	-	-	Cre01.g007901	Cre01.g007901	-	chromosome_1:1522807-1523609	-	-	0	0	0	OK
g203	-	-	g203	g203	-	chromosome_1:1522807-1533339	-	-	38.2085	36.3752	40.0418	OK
Cre01.g007950	-	-	Cre01.g007950	Cre01.g007950	-	chromosome_1:1533341-1539057	-	-	1.02972	0.704091	1.35534	OK
Cre01.g008000	-	-	Cre01.g008000	Cre01.g008000	-	chromosome_1:1539111-1544947	-	-	1.34624	0.920524	1.77196	OK
g206	-	-	g206	g206	-	chromosome_1:1545077-1550609	-	-	1.11694	0.739345	1.49453	OK
g207	-	-	g207	g207	-	chromosome_1:1551622-1561025	-	-	15.7298	15.0009	16.4588	OK
Cre01.g008150	-	-	Cre01.g008150	Cre01.g008150	-	chromosome_1:1561873-1574465	-	-	2.47738	2.20051	2.75426	OK
Cre01.g008200	-	-	Cre01.g008200	Cre01.g008200	-	chromosome_1:1574637-1581235	-	-	0.546393	0.353815	0.738972	OK
Cre01.g008250	-	-	Cre01.g008250	Cre01.g008250	-	chromosome_1:1582005-1588736	-	-	0.0103242	0	0.0295353	OK
g211	-	-	g211	g211	-	chromosome_1:1589633-1592985	-	-	5.89747e-06	0	0.0388325	OK
Cre01.g008300	-	-	Cre01.g008300	Cre01.g008300	-	chromosome_1:1589633-1592985	-	-	7.68354	6.88833	8.47875	OK
Cre01.g008350	-	-	Cre01.g008350	Cre01.g008350	-	chromosome_1:1593105-1597097	-	-	32.7016	31.222	34.1811	OK
g213	-	-	g213	g213	-	chromosome_1:1598345-1606788	-	-	0.670011	0.517587	0.822434	OK
Cre01.g008450	-	-	Cre01.g008450	Cre01.g008450	-	chromosome_1:1609639-1617555	-	-	0.751547	0.513887	0.989207	OK
Cre01.g008500	-	-	Cre01.g008500	Cre01.g008500	-	chromosome_1:1617655-1624117	-	-	1.3862	1.02092	1.75147	OK
Cre01.g008550	-	-	Cre01.g008550	Cre01.g008550	-	chromosome_1:1624775-1632086	-	-	14.5599	13.5694	15.5504	OK
Cre01.g008600	-	-	Cre01.g008600	Cre01.g008600	-	chromosome_1:1632335-1642687	-	-	0.819064	0.629697	1.00843	OK
Cre01.g008650	-	-	Cre01.g008650	Cre01.g008650	-	chromosome_1:1642755-1654034	-	-	54.1815	53.006	55.3569	OK
Cre01.g008700	-	-	Cre01.g008700	Cre01.g008700	-	chromosome_1:1654165-1657157	-	-	18.3667	16.6759	20.0575	OK
g220	-	-	g220	g220	-	chromosome_1:1657159-1661965	-	-	0.0435049	0	0.100466	OK
Cre01.g008800	-	-	Cre01.g008800	Cre01.g008800	-	chromosome_1:1662645-1668430	-	-	1.77353	1.50108	2.04597	OK
Cre01.g008850	-	-	Cre01.g008850	Cre01.g008850	-	chromosome_1:1668439-1683825	-	-	1.18916	1.04548	1.33284	OK
Cre01.g008891	-	-	Cre01.g008891	Cre01.g008891	-	chromosome_1:1683925-1686617	-	-	0.0989296	0	0.224067	OK
Cre01.g008900	-	-	Cre01.g008900	Cre01.g008900	-	chromosome_1:1686709-1690115	-	-	0.636348	0.352629	0.920068	OK
Cre01.g008950	-	-	Cre01.g008950	Cre01.g008950	-	chromosome_1:1693749-1695855	-	-	2.78432	2.14884	3.41979	OK
g225	-	-	g225	g225	-	chromosome_1:1693749-1696515	-	-	2.31601e-07	0	0.0527704	OK
g226	-	-	g226	g226	-	chromosome_1:1696065-1698453	-	-	0.0229818	0	0.114909	OK
